accel_X,accel_Y,accel_Z,gyro_X,gyro_Y,gyro_Z
-0.732,-0.064,-0.687,0.122,-1.648,-1.77
-0.75,-0.059,-0.732,7.385,6.47,-2.686
-0.735,-0.062,-0.7,-0.488,0.122,-1.099
-0.734,-0.065,-0.695,0.61,3.906,0.244
-0.736,-0.064,-0.705,1.343,-1.038,-1.648
-0.737,-0.064,-0.699,1.038,0.061,-2.136
-0.725,-0.052,-0.68,-2.136,4.211,-0.793
-0.737,-0.063,-0.7,-0.61,-1.16,-0.977
-0.732,-0.061,-0.696,0.61,-1.648,-1.709
-0.732,-0.06,-0.697,0.427,-0.061,-1.77
-0.721,-0.061,-0.694,-2.014,-5.859,-0.916
-0.733,-0.061,-0.698,0.183,-1.77,-1.099
-0.73,-0.062,-0.689,0.488,-1.16,-1.709
-0.732,-0.061,-0.695,-0.793,0.732,-1.404
-0.738,-0.052,-0.706,-2.441,2.319,-2.991
-0.737,-0.058,-0.716,1.648,-0.61,-1.465
-0.735,-0.06,-0.698,0.122,-0.854,-1.953
-0.724,-0.058,-0.679,-0.793,-5.676,-2.38
-0.736,-0.054,-0.693,-1.282,0.366,-1.099
-0.73,-0.061,-0.698,1.282,0.977,-2.197
-0.727,-0.056,-0.692,0.854,0.427,-2.014
-0.725,-0.059,-0.694,1.16,2.38,-2.258
-0.723,-0.065,-0.686,0.366,-1.587,-1.16
-0.727,-0.065,-0.704,0.427,-0.427,-0.793
-0.727,-0.064,-0.694,-1.343,-1.465,-1.343
-0.733,-0.065,-0.687,1.953,-0.244,-1.77
-0.726,-0.062,-0.68,-1.831,0.488,-1.892
-0.726,-0.058,-0.689,1.648,0.061,-0.549
-0.73,-0.056,-0.69,-3.235,4.761,-0.977
-0.722,-0.062,-0.69,3.601,0.183,-2.686
-0.73,-0.061,-0.686,0.977,-1.099,-2.136
-0.734,-0.058,-0.693,-0.427,-0.183,-1.587
-0.746,-0.06,-0.696,-0.122,-0.916,-1.343
-0.722,-0.065,-0.71,0.671,0.488,-2.014
-0.732,-0.056,-0.692,-0.183,-0.183,-1.465
-0.725,-0.057,-0.701,-1.221,-1.526,-1.465
-0.73,-0.052,-0.688,-0.427,-1.587,-1.892
-0.758,-0.06,-0.733,9.888,7.568,-2.869
